日期,era,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合_无天气盈亏,组合日收益_3M,core保证金,新闻可用
2011-02-15,final_only,2143.0,0.0,2143.0,0.0,0.0,2143.0,2143.0,0.0007143333333333333,41247.0,0
2011-02-16,final_only,2305.0,0.0,2305.0,0.0,0.0,2305.0,2305.0,0.0007683333333333333,35322.0,0
2011-02-17,final_only,-3421.0,0.0,-3421.0,0.0,0.0,-3421.0,-3421.0,-0.0011403333333333333,40062.0,0
2011-02-18,final_only,1933.0,0.0,1933.0,0.0,0.0,1933.0,1933.0,0.0006443333333333333,47323.0,0
2011-02-21,final_only,-5116.0,0.0,-5116.0,0.0,0.0,-5116.0,-5116.0,-0.0017053333333333334,45066.0,0
2011-02-22,final_only,209.0,0.0,209.0,0.0,0.0,209.0,209.0,6.966666666666666e-05,28436.0,0
2011-02-23,final_only,801.0,0.0,801.0,0.0,0.0,801.0,801.0,0.000267,30367.0,0
2011-02-24,final_only,-647.0,0.0,-647.0,0.0,0.0,-647.0,-647.0,-0.00021566666666666666,31348.0,0
2011-02-25,final_only,-727.0,0.0,-727.0,0.0,0.0,-727.0,-727.0,-0.00024233333333333333,17541.0,0
2011-02-28,final_only,-334.0,0.0,-334.0,0.0,0.0,-334.0,-334.0,-0.00011133333333333333,37689.0,0
2011-03-01,final_only,255.0,0.0,255.0,0.0,0.0,255.0,255.0,8.5e-05,31332.0,0
2011-03-02,final_only,-3502.0,0.0,-3502.0,0.0,0.0,-3502.0,-3502.0,-0.0011673333333333334,41177.0,0
2011-03-03,final_only,-477.0,0.0,-477.0,0.0,0.0,-477.0,-477.0,-0.000159,31265.0,0
2011-03-04,final_only,600.0,0.0,600.0,0.0,0.0,600.0,600.0,0.0002,31153.0,0
2011-03-07,final_only,-1443.0,0.0,-1443.0,0.0,0.0,-1443.0,-1443.0,-0.000481,45945.0,0
